slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
16352020,150,17969195,0.5989731666666667,,0xAAB27b150451726EC7738aa1d0A94505c8729bd1,150,100,2119376692.38,317906503857,38448437209
16352380,163,10401557,0.34671856666666667,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,163,100,1857341654.5460122,302746689691,111548627396
16352740,178,17240852,0.5746950666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,178,100,2238834861,398512605258,213812289493
16353100,17,1242179,0.04140596666666667,,0x9f4B4CeCa7aCE96834Bd2fcC961c772De7cb481a,17,100,2660931411.7647057,45235834000,13997917000
16353460,140,24122672,0.8040890666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,140,100,1239597582.9142857,173543661608,16516448890
16353820,104,16621244,0.5540414666666666,,0xe688b84b23f322a994A53dbF8E15FA82CDB71127,104,100,1431500917.7980769,148876095451,12955552294
16354180,115,9249786,0.3083262,,0xeBec795c9c8bBD61FFc14A6662944748F299cAcf,115,100,2726410913.617391,313537255066,18762412218
16354540,110,28049356,0.9349785333333334,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,110,100,2694348283.7545457,296378311213,30000000000
16354900,90,13356722,0.44522406666666664,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,90,100,1297995509.0555556,116819595815,13449082000
16355260,297,23709008,0.7903002666666666,,0x57af10eD3469b2351AE60175d3C9B3740E1Bb649,297,100,789277140.5589225,234415310746,19947178702
16355620,113,9515722,0.3171907333333333,,0xbd3Afb0bB76683eCb4225F9DBc91f998713C3b01,113,100,2001923445.0884955,226217349295,43000000000
16355980,236,18668013,0.6222671,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,236,100,5983651596.038136,1412141776665,1000030000000
16356340,156,16977346,0.5659115333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,156,100,4146933417.6153846,646921613148,314327448152
16356700,143,13259903,0.44199676666666665,,0x3422833EC833b0419C739221ADB98f8e8241D5Ec,143,100,7115964390.636364,1017582907861,85000000000
16357060,177,18213538,0.6071179333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,177,100,2728237294.225989,482898001078,25299999999
16357420,151,15583105,0.5194368333333333,,0xFeebabE6b0418eC13b30aAdF129F5DcDd4f70CeA,151,100,2187896501.4635763,330372371721,33000000000
16357780,128,14984065,0.4994688333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,128,100,1952779959.796875,249955834854,45000000000
16358140,77,11346937,0.37823123333333336,,0x7Fe2547Bcb8FCE1D51f2A2C0d9D93174Cd05b3f9,77,100,2222031933.376623,171096458870,30000000000
16358500,113,9771087,0.3257029,,0xAAB27b150451726EC7738aa1d0A94505c8729bd1,113,100,2097072955.079646,236969243924,34000000000
16358860,110,10630861,0.3543620333333333,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,110,100,2329687449.081818,256265619399,18000000000
16359220,101,11728053,0.3909351,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,101,100,3801364393.5148516,383937803745,45000000000
16359580,174,11843536,0.39478453333333335,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,174,100,1238657230.2931035,215526358071,15000000000
16359940,128,29979397,0.9993132333333333,,0x6d2e03b7EfFEae98BD302A9F836D0d6Ab0002766,128,100,1091429527.453125,139702979514,15761953667
16360300,114,14127759,0.4709253,,0xFeebabE6b0418eC13b30aAdF129F5DcDd4f70CeA,114,100,3835092088.2807016,437200498064,120843285267
16360660,89,11110185,0.3703395,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,89,100,1343178504.483146,119542886899,8000000000
16361020,70,29990629,0.9996876333333333,,0x61a33C3Cbe18E7a2D40D74C15bc10C2982B4270d,70,100,2662197522.2714286,186353826559,20000000000
16361380,339,14913911,0.49713036666666666,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,339,100,516171785.12094396,174982235156,19431064622
16361740,26,2743898,0.09146326666666667,,0x2B5C491a49e842C894e964e1A8E3f2485D095A88,26,100,1455072288.8076923,37831879509,5000000000
16362100,90,8537785,0.28459283333333335,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,90,100,1828661024.5777779,164579492212,15869936300
16362460,128,12429195,0.4143065,,0x199D5ED7F45F4eE35960cF22EAde2076e95B253F,128,100,1967715044.8203125,251867525737,18021596218
16362820,356,15024644,0.5008214666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,356,100,740512565.744382,263622473405,23000000000
