slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
173981145,2086,4380600,0.0912625,5497500,HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,113,0.054170661553212,10000,1130000,10000
173989786,602,23791053,0.4956469375,1632540,8EmKFzh4AjaiLD2Bs7ieTL5MeBy4ogMXSuBvkvscwBem,83,0.13787375415282,8073,670079,30000
173998427,2169,43939234,0.9154007083333333,6071676,A5EGLkDcDFtMcB3Mtdn6cYgeAq1gDvx9Yop7y8eyt9MN,253,0.11664361456893,10132,2563351,111428
174007068,3873,41088308,0.8560064166666667,10208117,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,301,0.077717531629228,8492,2556234,30000
174015709,962,6513259,0.13569289583333333,2598550,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,55,0.057172557172557,12038,662100,105000
174024350,2674,38607079,0.8043141458333334,6974963,838bsX3SDvnYRuMSniSn3XjWRRuSQ6CwwA4u8Sfw4EeY,162,0.06058339566193,8580,1389926,10880
174032991,2534,43629294,0.908943625,6759233,C5kwh145KTwPjFyYBKVgjmMFpaVYYeGvsqhN7Ao7a8Np,208,0.082083662194159,9079,1888465,148006
174041632,2061,33190434,0.691467375,5467277,BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,153,0.074235807860262,9115,1394553,105000
174050273,1946,31197831,0.6499548125,5171564,524nvr3JESQpYq5UUD7QMkpuDMg8TyyJBGr5m47jWZfe,158,0.081192189105858,8881,1403128,75000
174058914,0,0,0,0,9DbSqKfbFDmEt8DAMcnQ9ycwdWeDp8btBFogwD4u7yxn,,,,,
